Designator,Mid X,Mid Y,Rotation,Layer
A2,139.239214,-84.307642,90.0,top
C1,183.133437,-70.19,0.0,bottom
C2,182.958437,-72.32,0.0,bottom
C3,170.24863,-119.26,180.0,bottom
C4,170.42363,-121.4,180.0,bottom
C5,188.1125,-89.75,180.0,bottom
C6,188.1125,-91.95,180.0,bottom
J1,151.13828,-59.205,180.0,top
J10,151.619478,-101.090433,180.0,top
J11,151.619478,-109.180217,180.0,top
J12,166.57,-101.090433,180.0,top
J13,166.57,-109.180217,180.0,top
J14,151.094908,-126.250826,180.0,top
J15,161.1,-126.250826,180.0,top
J16,151.094908,-134.25,180.0,top
J17,161.1,-134.25,180.0,top
J2,138.748209,-134.25,180.0,top
J3,138.748209,-126.250826,180.0,top
J4,121.718434,-101.090433,180.0,top
J5,121.718434,-109.180217,180.0,top
J6,121.718434,-117.27,180.0,top
J7,136.668956,-101.090433,180.0,top
J8,136.668956,-109.180217,180.0,top
J9,136.668956,-117.27,180.0,top
SW1,134.28,-65.89,90.0,top
U1,183.27,-97.12203,0.0,top
U2,176.375937,-75.531874,0.0,top
U3,177.00613,-116.174678,180.0,top
